epoch,train_loss,val_loss,train_acc,val_acc
1,11.09111475944519,6.928740978240967,40.0,50.0
2,7.819653797149658,3.3986709117889404,10.0,50.0
3,2.987831974029541,3.9399166107177734,30.0,0.0
4,1.9358884811401367,5.045326232910156,70.0,0.0
5,0.832735013961792,1.793893575668335,70.0,50.0
6,0.6578795909881592,2.6566314697265625,70.0,50.0
7,0.8943599086254835,1.6967853307724,90.0,0.0
8,0.6281269118189812,2.773963689804077,80.0,0.0
9,0.4445464789867401,3.8104796409606934,70.0,0.0
10,0.3107052594423294,3.3701541423797607,80.0,50.0
