epoch,train_loss,val_loss,train_acc,val_acc
1,3.203569019408453,1.3418282588322958,34.76190476190476,40.0
2,1.2093535275686356,1.367733097076416,39.04761904761905,28.88888888888889
3,1.1119787443251836,1.0957547903060914,41.42857142857143,40.0
4,1.0507489181700207,1.1086850802103678,47.61904761904762,35.55555555555556
5,1.0496836753118606,1.2815390719307793,40.95238095238095,37.77777777777778
6,1.0542817098753794,1.6517640484703913,46.666666666666664,40.0
7,1.0974481611024767,1.300595834520128,42.857142857142854,33.333333333333336
8,1.0712107107752846,1.3691395017835828,45.23809523809524,26.666666666666668
9,1.0860756431307113,1.2702977922227647,46.19047619047619,28.88888888888889
10,0.9543308581624712,1.2780817800097994,51.42857142857143,26.666666666666668
