epoch,train_loss,val_loss,train_acc,val_acc
1,1.4269997000694274,1.0772591604126824,41.904761904761905,37.77777777777778
2,1.160595164980207,1.0863057110044692,37.142857142857146,35.55555555555556
3,1.139158768880935,1.1057553741667006,32.857142857142854,37.77777777777778
4,1.124736499786377,1.1557322925991482,37.61904761904762,40.0
5,1.1318342152095977,1.0988619963328043,34.285714285714285,40.0
6,1.0856760524568103,1.0651579274071588,41.904761904761905,42.22222222222222
7,1.0988831883385068,1.0997987588246663,41.42857142857143,44.44444444444444
8,1.0908077977952504,1.1262346082263524,41.42857142857143,35.55555555555556
9,1.1036545163109188,1.118983554840088,37.142857142857146,33.333333333333336
10,1.0788944550922939,1.1044028679529825,41.42857142857143,37.77777777777778
