epoch,train_loss,val_loss,train_acc,val_acc
1,4.178315939222063,1.2653436528311834,31.904761904761905,40.0
2,1.233723541668483,1.0753610690434774,37.142857142857146,44.44444444444444
3,1.1059977554139637,1.0575802617602879,40.95238095238095,40.0
4,1.0811972288858323,1.08192677365409,40.476190476190474,40.0
5,1.0910172541936238,1.0487126919958327,36.19047619047619,48.888888888888886
6,1.099921651113601,1.0560398552152845,39.04761904761905,44.44444444444444
7,1.1040544350941977,1.1283722241719565,39.523809523809526,35.55555555555556
8,1.0979950416655768,1.0632956306139627,41.904761904761905,48.888888888888886
9,1.086372819400969,1.1268443597687616,43.80952380952381,48.888888888888886
10,1.1187510541507175,1.1413266791237726,35.714285714285715,35.55555555555556
